EG20230404a1,EG20230404a2,EG20230404a3,EG20230404a4,EG20230404a5,EG20230404a6,EG20230404a7,EG20230404a8,EG20230410b1,EG20230410b2,EG20230410b3,EG20230410b4,EG20230410c1,EG20230410c2,EG20230410c3,EG20230410c4,EG20230410c5,EG20230410c6,EG20230410c8,EG20230410c9,EG20230410c10,EG20230410c11,EG20230410c12,EG20230410c13
5.6575999,1.8498,11.3356,6.7354999,4.1736999,1.1548001,,3.4985001,2.2550001,1.7499,,,3.6268001,3.7302999,9.5452995,,,3.4598999,8.7369003,4.6961999,5.4460001,3.5155001,13.989,1.2379
5.7321,1.8828,11.4366,6.8474002,4.2817998,1.1874,,3.5402999,2.3471999,1.7846,,,3.6686001,3.7909999,9.6569996,,,3.5346999,8.8036003,4.7287002,5.5496998,3.5644,14.0952,1.2624
5.7990999,1.9419,11.5397,6.9460001,4.3239002,1.2208,,3.6273999,2.4294,1.8233,,,3.7044001,3.8677001,9.7806997,,,3.5602,8.8562002,4.7638001,5.6033001,3.6104,14.2728,1.286
5.8720002,1.983,11.6228,7.0359001,4.3568001,1.2455,,3.6961,2.4862001,1.8526,,,3.7481,3.9531,9.9111996,,,3.6101,8.9053001,4.8176999,5.6473999,3.6599,14.5079,1.3145
5.9294,2.0060999,11.7156,7.1332002,4.4382,1.2679,,3.7319,2.6019001,1.89,,,3.7957001,4.066,10.0074,,,3.6599,9.0078001,4.8629999,5.7379999,3.7237,14.6639,1.3361
6.0075002,2.0597,11.797,7.1898999,4.4814,1.3035001,,3.7911,2.6547999,1.9196,,,3.8348999,4.1300001,10.0761,,,3.7105,9.0868998,4.9099998,5.7916999,3.7663,14.7901,1.3715
6.0764999,2.1407001,11.8919,7.2535,4.5100002,1.3276,,3.8710001,2.7056999,1.9507,,,3.8849001,4.1952,10.1581,,,3.7600999,9.1977997,4.9626999,5.8390999,3.8275001,14.9123,1.4013
6.1403999,2.1779001,11.9729,7.3428001,4.5573001,1.3423001,,3.9463,2.7760999,1.9862,,,3.9217,4.2726998,10.3041,,,3.8090999,9.2903004,5.0120001,5.8948998,3.8710999,14.9991,1.4214
6.2255998,2.221,12.1483,7.4268999,4.6352,1.3634,,4.046,2.8269,2.0480001,,,3.961,4.3464999,10.4433,,,3.8814001,9.3427,5.0612001,5.9477,3.9305999,,1.4426
6.2912002,2.2591,12.3553,7.5058999,4.6894002,1.3828,,4.0795002,2.8831999,2.132,,,4.0037999,4.3923001,10.6652,,,3.9251001,9.4434004,5.1170001,5.9962001,3.9833,,1.4633
6.3492999,2.3173001,12.4593,7.5914998,4.7336998,1.4037,,4.1092,2.9405,2.1918001,,,4.0381999,4.5050998,10.7552,,,3.9593999,9.5033998,5.1612,6.0409999,4.0405998,,1.4849
6.4401002,2.3685,12.5638,7.6588998,4.7797999,1.4354,,4.1785998,3.0351,2.2548001,,,4.0749998,4.5764999,10.855,,,4.0096998,9.5931997,5.2192001,6.0960002,4.0774002,,1.5132
6.52,2.411,12.6634,7.7312999,4.8576999,1.454,,4.2080002,3.1040001,2.3389001,,,4.1108999,4.6259999,10.9629,,,4.0567999,9.6466999,5.2610002,6.1374002,4.1422,,1.5376
6.6701002,2.4593999,13.1421,7.8931999,4.9836998,1.4901,,4.2382998,3.1812,2.3903,,,4.1482,4.6812,11.0804,,,4.1096001,9.7969999,5.3106999,6.1872001,4.2326999,,1.5706
6.7421999,2.4947,13.2238,7.9882002,5.0405002,1.5079,,4.2772999,3.2385001,2.4460001,,,4.1880002,4.7235999,11.196,,,4.1598001,9.8894997,5.3607998,6.2360001,4.296,,1.6038001
6.8195,2.5248001,13.2681,8.0798998,5.1149001,1.5391999,,4.2996998,3.3046999,2.5039001,,,4.2259002,4.7768002,11.3028,,,4.2107,9.9870005,5.4127002,6.2846999,4.3537998,,1.6296999
6.8779001,2.5597,13.3916,8.1371002,5.1401,1.5642,,4.3473001,3.3583,2.5476,,,4.2642999,4.8260002,11.3824,,,4.2557001,10.0444,5.4622002,6.3365002,4.4162998,,1.6648999
6.9496999,2.6208,13.4741,8.2902002,5.1803999,1.5953,,4.3866,3.4157,2.6019001,,,4.2953,4.8708,11.4959,,,4.3765001,10.1518,5.5138001,6.3899999,4.4617,,1.693
7.0261002,2.6691999,13.5542,8.3435001,5.2329998,1.6205,,4.4238,3.4711001,2.6499,,,4.3294001,4.9285998,11.5759,,,4.4101,10.252,5.5622001,6.4366002,4.5258002,,1.7237
