EG20230328b2,EG20230328b3,EG20230328b5,EG20230330a1,EG20230330a2,EG20230330b1,EG20230330b2,EG20230330b3,EG20230330b4,EG20230330c1,EG20230330c2,EG20230330d1,EG20230330d2,EG20230413a,EG20230413b1,EG20230413b2,EG20230413b3,EG20230413c2,EG20230413c3,EG20230413c4,EG20230413c5
,13.8152,2.6280999,4.9492998,,,,,,6.9770002,2.2362001,8.3879995,2.3036001,11.0948,5.4320998,,2.9108,,,13.1674,1.5007
,13.9103,2.6953001,5.0324998,,,,,,7.0274,2.2729001,8.4497004,2.3364,11.2035,5.4974999,,2.9342,,,13.2431,1.5183001
,14.0155,2.7804999,5.0890999,,,,,,7.0846,2.2957001,8.5474997,2.3873,11.3049,5.5602002,,3.0181999,,,13.3598,1.5366
,14.1443,2.7939999,5.1499,,,,,,7.1300001,2.3276,8.6366997,2.4284999,11.5482,5.6385002,,3.0311,,,13.497,1.5585001
,14.251,2.8387001,5.2231002,,,,,,7.1820998,2.3545001,8.6985998,2.4539001,11.78,5.7024999,,3.131,,,13.5728,1.579
,14.3628,2.8522,5.2873998,,,,,,7.2985001,2.3757,8.7851,2.4856999,11.9489,5.7852998,,3.155,,,13.6496,1.5964
,14.4691,2.8982999,5.4043002,,,,,,7.3455,2.4196,8.8802996,2.5318,12.0627,5.8539,,3.1831999,,,13.7501,1.6151
,14.5455,2.9375,5.4745002,,,,,,7.3895001,2.4779,9.0459995,2.5546,12.1282,5.9110999,,3.2072999,,,13.8422,1.6322
,14.6378,2.9482999,5.5419998,,,,,,7.4397001,2.5120001,9.1353998,2.5836999,12.1959,5.9784002,,3.2969,,,13.921,1.6493
,14.733,2.9767001,5.6286001,,,,,,7.4843998,2.5446,9.2347002,2.6345999,12.2645,6.0332999,,3.3290999,,,14.0829,1.6686
,14.8226,2.9904001,5.7179999,,,,,,7.5341001,2.5725999,9.3324003,2.6743,12.3388,6.0960002,,3.3539,,,14.1765,1.6887
,14.8986,3.0056,5.7888999,,,,,,7.5682998,2.5994,9.4336996,2.7021,12.4206,6.1922002,,3.3734,,,14.264,1.7101001
,,3.0713,5.8534999,,,,,,7.6127,2.6235001,9.5438995,2.7276001,12.4971,6.3059001,,3.4054999,,,14.318,1.7292
,,3.0839,5.9404998,,,,,,7.6655998,2.6535001,9.6049995,2.7528999,12.5465,6.3743,,3.4482999,,,14.407,1.7479
,,3.096,6.0355,,,,,,7.7219,2.6868,9.7809,2.7885001,12.5949,6.4268999,,3.5199001,,,14.4653,1.7659
,,3.1336999,6.1025,,,,,,7.7778001,2.7165999,9.8492002,2.8318,12.6505,6.4993,,3.5632,,,14.5225,1.7869999
,,3.1538,6.1752,,,,,,7.8353,2.7530999,9.9293003,2.8756001,12.7086,6.5780001,,3.6157999,,,14.567,1.8051
,,3.1954999,6.2396002,,,,,,7.8899999,2.7751999,10.0329,2.8985,12.7748,6.6564999,,3.6812999,,,14.6252,1.8265001
,,3.2226,6.3053999,,,,,,7.9475002,2.825,10.1425,2.9344001,12.8362,6.7223001,,3.7172,,,14.8974,1.845
,,3.2423,6.3748002,,,,,,8.0127001,2.8641,10.237,2.9793999,12.897,6.7817001,,3.8483,,,,1.8683
,,3.2897999,6.4313002,,,,,,8.0728998,2.8893001,10.3048,3.0243001,12.9559,6.8495002,,3.8810999,,,,1.8872
,,3.3036001,6.4893999,,,,,,8.1444998,2.9126,10.3901,3.0466001,13.0117,6.9397998,,3.8952,,,,1.9082
,,3.342,6.6331,,,,,,8.2952995,2.931,10.4855,3.0899,13.0639,7.0258002,,3.9149001,,,,1.9269
,,3.3563001,6.6985002,,,,,,8.3549004,2.9438,10.5782,3.1235001,13.1451,7.1631999,,4.0609002,,,,1.9481
,,3.3947999,6.7800002,,,,,,8.4124002,2.9935,10.689,3.1526,13.1962,7.2266002,,4.0857,,,,1.9651
,,3.4208,6.8353,,,,,,8.4747,3.0142,10.7788,3.1853001,13.2712,7.2995,,4.1047001,,,,1.9852999
,,3.4344001,6.8948998,,,,,,8.5523996,3.0337,10.8497,3.2249,13.3747,7.3771,,4.1403999,,,,2.0311
,,3.4528,6.9699001,,,,,,8.6128998,3.0657001,10.9338,3.2449,13.4474,7.4394999,,4.1696,,,,2.0455
,,3.4877,7.0317998,,,,,,8.6845999,3.0887001,11.0423,3.2797,13.5064,7.5137,,4.1872001,,,,2.0754001
,,3.5023,7.0862002,,,,,,8.7679005,3.1276,11.1762,3.3220999,13.5643,7.5822001,,4.2020001,,,,2.0901999
,,3.5367999,7.1368999,,,,,,8.8351002,3.1649001,11.2548,3.3434,13.6202,7.6869998,,4.2185998,,,,2.1222
,,3.5536001,7.2880998,,,,,,8.9039001,3.2061,11.3352,3.3738,13.6833,7.7460999,,4.276,,,,2.1355
,,3.5878,7.3527999,,,,,,8.9892998,3.2277999,11.4194,3.3963001,13.7352,7.8292999,,4.3088999,,,,2.1482
,,3.6040001,7.3990998,,,,,,9.0819998,3.2439001,11.5021,3.4284999,13.7848,7.8969998,,4.3305998,,,,2.1756999
,,3.6417,7.4790001,,,,,,9.1417999,3.2918,11.5899,3.4539001,13.8382,7.9594998,,4.3442998,,,,2.1963999
,,3.6905,7.5363998,,,,,,9.1934996,3.3318,11.6892,3.4879999,13.8855,8.0177002,,4.3653002,,,,2.2261
,,3.7381999,7.5960999,,,,,,9.2455997,3.3701999,11.7531,3.5281999,13.949,8.0733004,,4.3825998,,,,2.2432001
,,3.7997,7.6539001,,,,,,9.3444996,3.3882999,11.8767,3.5727,14.0152,8.1393995,,4.3987999,,,,2.2774
,,3.842,7.7403998,,,,,,9.4194002,3.4029,11.9434,3.5922,14.0817,8.2060003,,4.4155998,,,,2.2932
,,3.8733001,7.8059001,,,,,,9.4729996,3.4414999,12.0144,3.6301,14.1505,8.2868004,,4.4345002,,,,2.3211999
,,3.8910999,7.8748999,,,,,,9.5298004,3.4739001,12.0706,3.6916001,14.2058,8.3640003,,4.4734001,,,,2.3354001
,,3.9310999,7.9373999,,,,,,9.5848999,3.4933,12.1133,3.7386,14.2737,8.4180002,,4.5114002,,,,2.3752
,,3.9437001,8.0792999,,,,,,9.6499004,3.5153,12.1641,3.7737,14.3325,8.4771004,,4.5279002,,,,2.3926001
,,3.9813001,8.1486998,,,,,,9.7152996,3.5304999,12.2225,3.7929001,14.3952,8.5473003,,4.5597,,,,2.4274001
,,3.9990001,8.2234001,,,,,,9.7782001,3.5448,12.2659,3.8304,14.4553,8.6280003,,4.5756001,,,,2.444
,,4.0469999,8.2831001,,,,,,9.8432999,3.5732,12.3306,3.8541999,14.5231,8.7018995,,4.5971999,,,,2.4718001
,,4.0739002,8.3399,,,,,,9.9108,3.5948,12.3958,3.8796999,14.5946,8.7804003,,4.6304998,,,,2.4942999
,,4.0886002,8.4157,,,,,,9.9723997,3.6224999,12.4513,3.9045999,14.6678,8.8594999,,4.6669002,,,,2.5241001
,,4.1290002,8.4759998,,,,,,10.0291,3.6408,12.5051,3.9391999,14.7353,8.9333,,4.7069001,,,,2.5388
,,4.191,8.5312004,,,,,,10.0916,3.6758001,12.5593,3.9772,14.7982,9.0177002,,4.7290001,,,,2.5722001
,,4.2216001,8.5941,,,,,,10.1635,3.7114,12.6204,4.0317001,14.8547,9.0995998,,4.7427001,,,,2.5854001
,,4.2354002,8.6774998,,,,,,10.213,3.7374001,12.6826,4.0756001,14.9321,9.1935997,,4.7659998,,,,2.6022999
,,4.2515998,8.7336998,,,,,,10.2684,3.7563,12.7398,4.1016002,,9.2777004,,4.7891002,,,,2.6314001
,,4.3223,8.7927999,,,,,,10.323,3.8051,12.7913,4.1307998,,9.3519001,,4.8031001,,,,2.6521001
,,4.3333998,8.8766003,,,,,,10.3823,3.8443,12.8393,4.1757998,,9.4301004,,4.8288002,,,,2.6793001
,,4.3527999,8.9302998,,,,,,10.4439,3.8661001,12.8983,4.2016001,,9.5066004,,4.8670998,,,,2.697
,,4.3860998,9.0396004,,,,,,10.5247,3.9033,12.9473,4.237,,9.5978003,,4.8857999,,,,2.7165999
,,4.4323001,9.1015997,,,,,,10.5764,3.9164,13.0008,4.2792001,,9.6688995,,4.8978,,,,2.7353001
,,4.4450998,9.1851997,,,,,,10.6313,3.9356,13.0438,4.3031001,,9.7460003,,4.9183002,,,,2.7535999
,,4.4882998,9.2426004,,,,,,10.7016,3.973,13.0996,4.3393998,,9.7893,,4.9334998,,,,2.7894001
,,4.5029998,9.2951002,,,,,,10.7636,4.0176001,13.1502,4.3755002,,9.8539,,4.9436002,,,,2.8246
,,4.5337,9.4219999,,,,,,10.8202,4.0455999,13.2076,4.4267001,,9.9231997,,4.9678998,,,,2.8427
,,4.5921998,9.4769001,,,,,,10.8698,4.0619998,13.2694,4.4716001,,9.9896002,,4.9828,,,,2.8752999
,,4.6206999,9.5337,,,,,,10.9407,4.0802999,13.3252,4.4954,,10.0545,,4.9931002,,,,2.8933001
,,4.6364002,9.5945997,,,,,,10.9905,4.0988998,13.3872,4.5362,,10.1345,,5.0029998,,,,2.9339001
,,4.6538,9.6531,,,,,,11.0694,4.1984,13.4582,4.5900998,,10.2127,,5.0208001,,,,2.9781001
,,4.6968999,9.7414999,,,,,,11.1404,4.2209001,13.5143,4.6297998,,10.2752,,5.0416999,,,,3.0288999
,,4.7245998,9.8199997,,,,,,11.2142,4.2388,13.5717,4.6764002,,10.3547,,5.0630999,,,,3.0488
,,4.7396998,9.8834,,,,,,11.2823,4.2751002,13.6211,4.7052999,,10.424,,5.0791001,,,,3.0775001
,,4.7874999,9.9420004,,,,,,11.3301,4.2926998,13.6872,4.7516999,,10.4934,,5.0949998,,,,3.0945001
,,4.8344998,10.02,,,,,,11.3847,4.3203001,13.739,4.7886,,10.5602,,5.1206002,,,,3.1257999
,,4.8481998,10.0853,,,,,,11.4443,4.3643999,13.8098,4.8372998,,10.6302,,5.1415,,,,3.1498001
,,4.8829002,10.1449,,,,,,11.4951,4.3799,13.8777,4.8832002,,10.702,,5.1588001,,,,3.1754999
,,4.8972998,10.2032,,,,,,11.6488,4.4214001,13.9438,4.9126,,10.7566,,5.1781998,,,,3.197
,,4.9308,10.2792,,,,,,11.7046,4.4422998,14.0282,4.9376998,,10.8336,,5.2055001,,,,3.2256
,,4.9457002,10.3444,,,,,,11.7641,4.473,14.09,4.9751,,11.017,,5.2420001,,,,3.2476001
,,5.0215001,10.4048,,,,,,11.8199,4.4916,14.161,4.9986,,11.0923,,5.2708001,,,,3.276
,,5.0367999,10.4756,,,,,,11.8994,4.5152998,14.2208,5.0366998,,11.1654,,5.3130999,,,,3.2988999
,,5.086,10.5313,,,,,,11.9822,4.5461998,14.2798,5.0777998,,11.2441,,5.3277001,,,,3.3236001
,,5.1169,10.5851,,,,,,12.0401,4.5960999,14.3363,5.0974002,,11.3265,,5.3421001,,,,3.3378999
,,5.1335001,10.6391,,,,,,12.0879,4.6128998,14.3912,5.1335001,,11.3799,,5.3561001,,,,3.3743
,,5.1812,10.698,,,,,,12.1452,4.6331,14.4422,5.1708999,,11.444,,5.3722,,,,3.3898001
,,5.2309999,10.7712,,,,,,12.2001,4.6736002,14.5041,5.2315998,,11.5345,,5.3814001,,,,3.4189999
,,5.2444,10.8435,,,,,,12.2634,4.6981001,14.5586,5.2539001,,11.6886,,5.3909998,,,,3.4366
,,5.2746,10.8961,,,,,,12.3208,4.7252998,14.6381,5.2888999,,11.7791,,5.4032001,,,,3.4544001
,,5.2929001,10.9702,,,,,,12.3794,4.7487998,14.7065,5.3257999,,11.8581,,5.4168,,,,3.4796
,,5.3234,11.0259,,,,,,12.4195,4.7772002,14.7717,5.3541002,,11.9346,,5.4260998,,,,3.4988999
,,5.3411002,11.0799,,,,,,12.475,4.8199,14.8284,5.3846998,,12.0049,,5.4387002,,,,3.5256
,,5.3804998,11.1365,,,,,,12.5231,4.8604002,14.881,5.4232998,,12.0878,,5.4538999,,,,3.5441999
,,5.3944998,11.2725,,,,,,12.5877,4.8916998,14.9444,5.4537001,,12.1733,,5.4636998,,,,3.5725
,,5.4291,11.3445,,,,,,12.65,4.9208002,,5.4967999,,12.2472,,5.4745002,,,,3.5885999
,,5.4440999,11.4554,,,,,,12.6929,4.9488001,,5.5356002,,12.3108,,5.4846001,,,,3.6196001
,,5.4843001,11.5398,,,,,,12.7257,4.9707999,,5.5783,,12.3799,,5.4935999,,,,3.6475999
,,5.4990001,11.616,,,,,,12.7817,4.9907999,,5.6236,,12.4396,,5.5042,,,,3.6717999
,,5.5359001,11.6772,,,,,,12.8226,5.0344,,5.6810999,,12.483,,5.5145001,,,,3.6884999
