20220818a,20220818c,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191209k,20191217b,20191217c,20191217e,20191217f,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.80830002,2.7749,1.5056,,1.4026,1.5048,2.8539,0.4391,2.1412001,7.0738001,1.1255,1.4584,3.5046,1.2362,2.6642001,0.77560002,2.1026001,0.94520003,1.696,0.63770002,0.95209998,2.8906,2.4833,3.4719,0.85360003,1.5930001,2.3141,1.7674,2.1552,1.8562,4.8978,2.1387999,1.5829999,2.3776,0.73280001,1.1615,0.6778,4.9094
0.82889998,2.8873,1.5446,,1.4491,1.5468,2.9488001,0.45249999,2.1991999,7.2045002,1.163,1.4987,3.6982,1.2688,2.7551999,0.7985,2.1637001,0.9709,1.7419,0.65460002,0.9781,2.9763999,2.5074,3.5571001,0.87550002,1.6428,2.378,1.822,2.2353001,1.9118,5.0697999,2.2021,1.6262,2.4811001,0.75330001,1.1928,0.6972,5.0254998
0.85159999,2.9690001,1.5858999,,1.4842,1.5937001,3.0439,0.4655,2.2753,7.6557999,1.1864001,1.5384001,3.8412001,1.3056999,2.7992001,0.8215,2.2337,1.0017,1.7918,0.67259997,1.0044,3.0527,2.5920999,3.6700001,0.90420002,1.6999,2.4296,1.8732001,2.3034,1.9636,5.1812,2.2625,1.6670001,2.6027,0.77450001,1.2249,0.7177,5.1440001
0.87639999,3.0903001,1.6249,,1.5251,1.6415,3.1050999,0.48030001,2.352,7.7743001,1.2064,1.5724,3.9540999,1.3458,2.8801,0.84210002,2.2737,1.0321,1.8389,0.68879998,1.03,3.1333001,2.6071999,3.7739999,0.92720002,1.7359999,2.4888,1.923,2.3645,2.0301001,5.3913002,2.3454001,1.714,2.7785001,0.79509997,1.2642,0.73689997,5.2828002
0.90930003,3.165,1.6801,,1.5632,1.6844,3.1826999,0.49419999,2.4391999,7.882,1.2539999,1.6023999,4.0539999,1.3936,2.9737,0.86250001,2.3871,1.0592999,1.8796999,0.70700002,1.0563,3.2154,2.6998999,3.8599,0.94499999,1.771,2.5383999,1.9763,2.4372001,2.0832,5.5029001,2.4389999,1.7577,2.8812001,0.81690001,1.3097,0.75650001,5.4533
0.93379998,3.2302999,1.725,,1.6052999,1.7256,3.2579999,0.50690001,2.4921999,8.0747004,1.2842,1.6379,4.1384001,1.4381,3.1017001,0.88419998,2.4394,1.0908,1.9281,0.72430003,1.0813,3.2918999,2.7550001,3.9021001,0.97350001,1.8163,2.6205001,2.0448999,2.5028,2.1412001,5.6708999,2.4674001,1.8038,2.9967999,0.838,1.3397,0.77499998,5.5570002
0.9544,3.3159001,1.761,,1.6443,1.7646,3.339,0.5183,2.5448999,8.1847,1.3167,1.6687,4.1817002,1.4679,3.2032001,0.90759999,2.4888999,1.1145,1.9792,0.74089998,1.109,3.3778,2.8062999,3.9544001,0.99489999,1.8767,2.6812,2.0977001,2.5622001,2.1956,5.7926998,2.5057001,1.8464,3.1554999,0.85879999,1.3732001,0.79369998,5.6813002
0.98049998,3.4159,1.7993,,1.6849999,1.8156,3.4042001,0.53049999,2.5927,8.3423996,1.348,1.7075,4.2391,1.5042,3.2881,0.92680001,2.5371001,1.1388,2.0316999,0.7579,1.1356,3.4538,2.8954,4.0548,1.0178,1.9164,2.7454,2.1589999,2.6427,2.2555001,5.9677,2.5285001,1.8911999,3.2520001,0.87949997,1.4033999,0.81370002,5.8032999
1.0022,3.471,1.8480999,,1.7336,1.8544,3.4742,0.5431,2.6572001,8.4645996,1.3978,1.7471,4.3621998,1.5319999,3.3694,0.94739997,2.5885999,1.1648999,2.0741,0.77749997,1.1615,3.5409,2.9075,4.0890999,1.0408,1.9651999,2.8095,2.234,2.7337,2.3018,6.0853,2.5469,1.9349999,3.2997999,0.90009999,1.434,0.83279997,5.9278998
1.0242,3.549,1.8911,,1.7764,1.8963,3.5552001,0.55549997,2.7402,8.5616999,1.4282,1.788,4.4926,1.5703,3.4628999,0.9666,2.6517,1.1912,2.1278,0.79509997,1.1888,3.6396999,3.0060999,4.1582999,1.0664999,2.0172999,2.8671999,2.2823,2.7934,2.3568001,6.1989999,2.6331,1.9765,3.4719999,0.92159998,1.4674,0.85329998,6.0973001
