20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g
1.5398,1.0704,1.1059999,14.0677,1.7555,1.8480999,4.2912002,4.4853001,6.0202999,5.8512998,1.9722,0.9691,1.6203001,4.8031998,12.7952,12.3364,5.3945999,1.1079,2.7269001,1.0483,1.5328,1.9463,2.711,2.0051999,0.2863,6.3979998,14.3047,1.4493001,10.4791,2.7835,1.0441999,0.80669999,1.835,1.0741,1.6665,1.6385,,1.2819,2.8706
1.564,1.0996,1.1389,14.201,1.8335,1.8911999,4.6113,4.6791,6.2298999,5.9692001,2.0920999,0.99739999,1.6802,5.1911001,12.8181,12.6114,5.7993002,1.1406,2.8980999,1.0773,1.5835,2.0037,2.7911999,2.1017001,0.29449999,6.7939,14.5891,1.4926,10.6155,2.8803,1.0750999,0.82969999,1.8928,1.1,1.7237999,1.6835001,,1.3304,2.9705999
1.608,1.1296999,1.1809,14.3017,1.8787,1.9502,4.6838002,4.7835002,6.3678999,6.0609002,2.2932,1.0239,1.7431999,5.6055999,12.8933,13.1387,6.2084999,1.1707,2.9809999,1.1047,1.6217999,3.092,2.8685,2.2925999,0.30320001,7.0981998,14.59,1.5246,10.7828,2.9814999,1.1052999,0.84969997,1.9605,1.1238,1.7735,1.73,,1.3661,3.0695
1.6454999,1.161,1.2184,14.4251,1.9349,2.3978,4.8986001,4.8994002,6.5274,6.1749001,2.3931,1.0522,1.7914,5.8976998,13.0381,13.6885,6.3983002,1.2038,3.1538999,1.1346999,1.6648999,3.2972,2.9584,2.4632001,0.31130001,7.4956002,14.8762,1.6203001,10.9177,3.0618,1.136,0.87040001,2.7964001,1.1417,1.8226,1.7733999,,1.4256001,3.1714001
1.6844,1.1926,1.2473,14.5528,1.9845001,2.5032001,5.0662999,5.0307999,6.6785002,6.2853999,2.4869001,1.0828,1.8571,6.2038999,13.1288,14.111,7.2017002,1.2354,3.3455,1.165,1.7114,3.5065,3.0292001,2.559,0.3193,7.7975001,14.8771,1.6538,11.0026,3.1596999,1.1703,0.88929999,3.1940999,1.1651,1.878,1.8196,,1.4563,3.2832999
1.7056,1.2235,1.2774,14.8239,2.6531999,2.7076001,5.0776,5.0879002,6.8583999,6.3614001,2.5908999,1.1109,1.9007,6.5050998,13.2194,14.3056,7.3028002,1.2671,3.5199001,1.1953,1.7524,3.7026,3.1087999,2.596,0.3276,7.9647002,,1.7025,11.1964,3.2737999,1.2016,0.91170001,3.3827,1.1887,1.9299999,1.8656,,1.4926,3.3868001
1.7563,1.2598,1.3118,14.9103,2.7042999,3.1989999,5.2035999,5.1784,7.0138998,6.4664998,2.6743,1.1432,1.9538,6.6971998,13.2234,14.7385,7.5970998,1.299,3.6852,1.2272,1.7987,3.9052999,3.1809001,2.6918001,0.33559999,8.2791996,,1.7635,11.3936,3.3657,1.2323999,0.93099999,3.4948001,1.212,1.9755,1.9151,,1.5242,3.4863999
1.7788,1.2867,1.3436,,3.6954999,3.4082,5.4699998,5.3862,7.1761999,6.5904999,2.7016001,1.1841,1.9946001,6.9977999,13.3233,14.897,7.8875999,1.3377,3.7816,1.2566,1.8464,4.0040998,3.2526,2.7844,0.34369999,8.3547001,,1.8083,11.658,3.4707,1.2647001,0.94870001,3.6047001,1.2341,2.0771,1.9684,,1.5515,3.5702
1.8187,1.3203,1.3722,,3.9044001,3.598,5.5811,5.4759998,7.3348999,6.6746001,2.8025,1.2187001,4.9759002,7.2863998,13.4001,,7.9963002,1.3717,3.8994999,1.2884001,1.905,4.1924,3.3517001,2.8801,0.3515,8.4969997,,1.8783,11.9086,3.5727999,1.2941,0.97229999,3.7025001,1.2584,2.1605999,2.075,,1.5779999,3.6737001
1.8836,1.3483,1.4061,,5.3017001,3.802,5.6915002,5.5805998,7.4759002,6.7702999,2.8864999,1.2503,10.1021,7.4061999,13.4104,,8.1056004,1.4025,4.1485,1.3193001,1.9476,4.4947,3.4254999,2.9565001,0.35960001,8.6884003,,1.9251,12.0265,3.6812,1.3275,0.99220002,3.7916999,1.2838,2.2776999,2.1886001,,1.6098,3.7693
2.0927999,1.3747,1.446,,5.5867,3.9781001,5.8076,5.783,7.6708999,6.8730998,2.9795001,1.2842,10.6018,7.6573,13.4895,,8.2985001,1.4387,4.2602,1.3552001,1.9876,4.6977,3.4971001,3.0864,0.3687,8.8848,,1.9564,12.1094,3.7641001,1.3614,1.0166,3.8994999,1.3094,2.3683,2.2835,,1.6418,3.8611
2.2454,1.4032,1.4792,,6.0752001,4.1915998,5.914,5.8685002,7.8016,6.9885998,3.0917001,1.3142,11.8951,8.0888996,13.5925,,8.4020004,1.4747,4.3404999,1.3881,2.0634999,4.8997998,3.5625,3.1775999,0.37650001,9.0613003,,2.0055001,12.3001,3.8606999,1.3936,1.0365,3.9921999,1.3353,2.4642999,2.4647999,,1.6736,3.9726
2.2660999,1.4299001,1.5096,,6.2958002,4.3955998,5.9699998,6.0665002,7.9418001,7.0963001,3.1789999,1.3455,12.0511,8.2571001,13.7199,,8.5053997,1.51,4.4538002,1.4146,2.1059999,5.3899999,3.6198001,3.2693999,0.3847,9.2870998,,2.0660999,12.4897,3.9614,1.4253,1.0512,4.0881,1.3604,2.5053999,2.5878999,,1.6971,4.0879002
