20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
2.3608,1.5246,1.5006,12.5365,1.9619,3.9705,6.1598001,3.707,7.8587999,7.4517002,2.9586999,1.2938,1.9701,3.3439,8.1747999,12.6707,7.5847998,1.6207,3.983,1.6739,2.2672,4.9664998,3.1814001,2.0957,1.0574,4.7772999,14.516,1.6768,9.5136995,2.3353,1.6847,0.98140001,2.1572001,1.1379,1.9855,2.2658999,,1.242,3.4876001,1.9981
2.3879001,1.5585001,1.538,12.6071,2.1956,4.1178002,6.3109002,3.8422,8.1148005,7.5026002,3.0764,1.3274,4.0026002,3.4066999,8.2201996,13.0168,7.8062,1.659,4.1492,1.711,2.3225999,5.1374002,3.2648001,2.1406,1.0827,4.8842001,14.7855,1.7149,9.8683996,2.3986001,1.7249,1.0006,2.3306999,1.1688,2.0855999,2.3118,,1.2776999,3.5780001,2.0573001
2.4553001,1.5956,1.5707,12.7065,3.5404999,4.1880002,6.5346999,3.8776,8.3008003,7.5847998,3.1356001,1.359,4.3849001,3.5283999,8.3683004,13.173,7.9843001,1.6923,4.2623,1.7493,2.3735001,5.3846002,3.3518,2.1870999,1.1105,4.9635,,1.7634,10.1552,2.4807,1.7647001,1.0207,2.3806,1.206,2.1324999,2.3692999,,1.3105,3.6942,2.1056001
2.4886,1.6397001,1.6172,12.8069,3.7723999,4.2976999,6.5974998,3.9451001,8.4386997,7.6918998,3.3127999,1.395,4.4039001,3.5929999,8.7721004,13.3674,8.1911001,1.7247,4.3936,1.7869999,2.4677,5.5464001,3.4532001,2.2743001,1.1363,5.1489,,1.8147,10.3564,2.5404999,1.8065,1.0470001,2.5121,1.2354,2.1801,2.4993999,,1.3552001,3.7848001,2.155
2.5209999,1.675,1.6569999,12.8699,3.967,4.3522,6.7578001,4.0785999,8.6738997,7.7975001,3.3455,1.4308,4.7405,3.7233,8.9882002,13.6571,8.3753996,1.7625999,4.4804001,1.8309,2.5325,5.605,3.5353999,2.326,1.1617,5.2979999,,1.8447,10.5729,2.5931001,1.8486,1.0729001,2.5404999,1.2586,2.2801001,2.5622001,,1.3825001,3.8864,2.1998
2.757,1.7134,1.6952,13.0089,4.1813002,4.4979,6.9500999,4.1459999,8.8411999,7.8978,3.4888,1.4658999,4.9973001,3.7823999,9.1271,14.0338,8.3999004,1.8052,4.5932999,1.8678,2.5922999,5.7665,3.6112001,2.3749001,1.1864001,5.3834,,1.8906,10.924,2.658,1.8882,1.0953,2.5782001,1.2905999,2.3295,2.6798,,1.4188,3.9789,2.2449999
2.7995999,1.7535,1.7323,13.2041,4.3955002,4.5588999,7.1227002,4.2965002,9.0689001,8.0654001,3.5208001,1.4976,5.5721002,3.9252999,9.2854004,14.2209,8.5843,1.8459001,4.6676002,1.9075,2.6684999,5.9335999,3.6926999,2.4519,1.2173001,5.4966998,,1.9299999,11.1752,2.7146001,1.9282,1.1166,2.6977999,1.3177,2.3808,2.7363999,,1.4506,4.0963998,2.2934
2.8757,1.7902,1.772,13.2817,4.5746999,4.6044998,7.3291998,4.3864002,9.2377005,8.1757002,3.5734,1.5298001,5.9026999,3.9818001,9.3478003,14.4722,8.7705002,1.8842,4.7600002,1.9445,2.7282,6.0033002,3.7653999,2.4820001,1.2449,5.5913,,1.9605,11.3463,2.7892001,1.9689,1.1379,2.7351,1.3568,2.4793999,2.8901999,,1.5052,4.1945,2.3368001
2.9017999,1.8313,1.8113,13.3374,4.7105999,4.7254,7.5226998,4.5197001,9.4996004,8.2833996,3.6822,1.5627,6.1420002,4.1630001,9.7840996,14.8749,8.9602003,1.9167,4.8571,1.9857,2.7795,6.1556001,3.848,2.5250001,1.2718,5.7143998,,2.003,11.568,2.8692,2.0091,1.1611,2.7695,1.3918,2.5288999,2.9395001,,1.5359,4.2887998,2.3768001
2.9886,1.8739001,1.8591,13.5157,4.7600999,4.908,7.7146001,4.5908999,9.6939001,8.3837996,3.7282,1.5956,6.1669998,4.3371,9.9441996,,8.9972,1.956,4.9535999,2.1026001,2.8635001,6.3074002,3.9453001,2.5671,1.3017,5.9053001,,2.0778,11.7496,2.9252,2.0579,1.1842999,2.9065001,1.4191999,2.5781,3.0736001,,1.5668,4.3699999,2.4236
