20220818a,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191217b,20191217c,20191217e,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
1.5177,2.5948999,,2.0567,2.3067999,3.8385999,0.61610001,3.3301001,7.9175,1.5517,1.8241,6.1062999,2.3887,2.0646,1.1263,1.8255,1.17,2.3478999,0.85820001,1.3286999,5.5630002,3.0063,2.1092,1.2216001,2.1743,4.2831998,3.1788001,2.7736001,15.0135,2.2272,3.3187001,1.1142,1.6091,1.2249,5.3628998
1.5452,2.6802001,,2.1054001,2.3673,3.8961,0.63230002,3.3831999,8.1285,1.5804,1.8645999,6.1911001,2.5033,2.1176,1.1497999,1.8626,1.1912,2.3999,0.87629998,1.3535,5.6886001,3.092,2.1492,1.2456,2.2179,4.3575001,3.2474999,2.8350999,15.2623,2.27,3.3775001,1.1382,1.6441,1.2464,5.4404001
1.5747,2.7462001,,2.1556001,2.4072001,3.9572001,0.648,3.461,8.2686996,1.6244,1.904,6.3021998,2.5446,2.1535001,1.1720999,1.9078,1.2155,2.4391,0.89270002,1.3841,5.8241,3.1710999,2.1935,1.2676001,2.2532001,4.4597001,3.3153999,2.8887,15.5145,2.3204999,3.4844999,1.1605999,1.6754,1.2690001,5.5395999
1.6041,2.8406,,2.2444,2.4639001,4.0643001,0.6645,3.5313001,8.3740997,1.642,1.9342,6.4798002,2.5806,2.2625999,1.1933,1.948,1.2421,2.4837,0.9102,1.4117,5.9394999,3.2065001,2.2665999,1.3004,2.2865,4.5362,3.382,2.9545,15.6931,2.3677001,3.5467999,1.1851,1.7062,1.2945,5.6410999
1.6321,2.9110999,,2.2925,2.5071001,4.1199999,0.68089998,3.5985,8.5155001,1.6746,1.9665999,6.6020999,2.7179999,2.3067,1.2132,1.9851,1.266,2.5237,0.92629999,1.4358,6.0623999,3.2704,2.3095,1.3191,2.336,4.6525002,3.4473,3.0287001,15.9284,2.4059999,3.6968999,1.2086,1.7438,1.3187,5.7533998
1.6571,2.9591999,,2.3408999,2.5646,4.1936002,0.6979,3.694,8.7385998,1.6991,2.0555,6.7112002,2.7576001,2.3443999,1.2351,2.0392001,1.2896,2.5759001,0.94230002,1.4595,6.1960001,3.3467,2.3743999,1.3418,2.4006,4.7349,3.5106001,3.0771999,16.200199,2.4261,3.7574,1.2316,1.7818,1.345,5.8807001
1.6866,2.9898,,2.3931999,2.6071,4.2673001,0.71429998,3.7474999,8.9293003,1.7296,2.0810001,6.8354998,2.7959001,2.3857,1.2596999,2.0724001,1.3134,2.6255,0.9587,1.4857,6.3323998,3.4042001,2.4559,1.3619,2.4514,4.8474002,3.5697,3.1359999,16.420099,2.4789,3.8792,1.2559,1.8173,1.3714,5.9759998
1.7133,3.0815001,,2.4577999,2.6472001,4.3495998,0.72869998,3.8439,9.0539999,1.76,2.1057999,6.9853001,2.8987,2.4523001,1.2819,2.1136,1.3379,2.6672001,0.97509998,1.5137,6.4835,3.4886999,2.4858999,1.3874,2.5046999,4.9264002,3.6406,3.1919,16.746099,2.5385001,3.944,1.2796,1.8584,1.3963,6.0762
1.7474,3.1480999,,2.5032001,2.7063,4.4039001,0.74550003,3.9163001,9.1398001,1.7969,2.1357,7.1195002,2.9305,2.4962001,1.3039,2.1538,1.3616,2.714,0.99190003,1.5397,6.6314001,3.5574,2.5322001,1.4122,2.5483,5.0616002,3.7058001,3.2572999,17.002199,2.5908999,4.0026002,1.3020999,1.8901,1.4215,6.1711998
1.7773,3.1977,,2.5487001,2.7356999,4.4661002,0.7597,3.9791,9.3011999,1.8279001,2.1721001,7.2546,2.964,2.5334001,1.3246,2.1886001,1.3832,2.7651,1.0104001,1.5657001,6.7470999,3.6073999,2.5658,1.4382,2.5999,5.1427999,3.7686999,3.3053999,17.3039,2.6098001,4.1149001,1.3265001,1.9229,1.4466,6.2807002
1.8069,3.2772999,,2.5913999,2.789,4.5250001,0.7726,4.0485001,9.3829002,1.8563,2.2609,7.3519001,3.0283,2.5810001,1.3475,2.24,1.4082,2.8211999,1.0272,1.592,6.8745999,3.6968999,2.6443999,1.4618,2.6556001,5.2522001,3.8399,3.3692,17.51,2.6563001,4.1659999,1.3487999,1.9514,1.4713,6.4159999
1.8397,3.3255,,2.6445,2.8076999,4.5988002,0.7863,4.1132002,9.5852003,1.8849,2.2897,7.4426999,3.0655,2.6587,1.3684,2.2774999,1.4315,2.8704,1.0434999,1.6207,7.0032001,3.7934999,2.6779001,1.4822,2.6928,5.3257999,3.8979001,3.4284999,17.7346,2.7084999,4.2736001,1.3716,1.9791,1.4960001,6.5011001
1.8667001,3.3777001,,2.6872001,2.8526001,4.6820002,0.79900002,4.1740999,9.7747002,1.9093,2.3269,7.5794001,3.1113,2.6956999,1.3904001,2.3106999,1.455,2.9233999,1.0607001,1.6456,7.1278,3.8527,2.7302001,1.4996001,2.7354,5.4850001,3.9617,3.4806001,17.9928,2.7550001,4.335,1.3961999,2.0267999,1.522,6.5942001
1.8972,3.4728,,2.7242999,2.9066,4.7435002,0.81110001,4.2442002,9.9152002,1.943,2.3664999,7.7620001,3.1578,2.7355001,1.4132,2.3436,1.4809,2.9727001,1.0767,1.6734999,7.2589998,3.9230001,2.7718999,1.525,2.7750001,5.5542998,4.0402002,3.5302,18.193001,2.8053999,4.3906002,1.4232,2.0615001,1.5472,6.7023001
1.9248,3.5346999,,2.7676001,2.9374001,4.8333998,0.82340002,4.3006001,10.0619,1.9744999,2.4449,7.9112,3.1975999,2.7736001,1.433,2.3791001,1.5057,3.0239,1.0942,1.6998,7.3857002,3.9870999,2.8548999,1.5499001,2.8289001,5.6575999,4.0962,3.5843,18.365,2.8297,4.4935999,1.4443001,2.0905001,1.5721,6.7979999
1.9599,3.6675,,2.8348,2.9928,4.9172001,0.8398,4.3453002,10.1635,1.9927,2.4921,8.0913,3.3159001,2.8559999,1.4528,2.4400001,1.5282,3.0757,1.1102,1.7336,7.4987001,4.0064998,2.888,1.573,2.8629,5.7287998,4.1588001,3.6447001,18.5786,2.8729,4.553,1.4669,2.1249001,1.5980999,6.8551002
1.9864,3.724,,2.8754001,3.0077,4.9816999,0.85339999,4.3973999,10.4054,2.0629001,2.5241001,8.2320995,3.3566999,2.8889,1.472,2.4774001,1.5513999,3.1249001,1.1267999,1.7618001,7.6690998,4.0839,2.9277999,1.5962,2.8982,5.8821001,4.2382002,3.6945,18.7055,2.9224,4.6795998,1.4875,2.1578,1.6234,6.9201002
2.0325999,3.7709,,2.9177999,3.0701001,5.0517998,0.86519998,4.4705,10.559,2.0869,2.5608001,8.3662996,3.4498999,2.9254,1.4938999,2.5123,1.5727,3.1779001,1.1440001,1.7896,7.7547002,4.1630998,2.9746001,1.6216,2.9391,5.9590998,4.3016,3.7414999,18.849899,2.9741001,4.7458,1.5102,2.1859,1.6482,7.0075998
2.0562,3.8429,,2.9563,3.1064999,5.1087999,0.8775,4.5278001,10.7772,2.1162,2.5950999,8.4568005,3.48,2.9693,1.5143,2.5467,1.5969,3.2288001,1.1618,1.8189,7.8873,4.2072001,3.0509,1.6441,2.9718001,6.0672998,4.3692002,3.8546,19.0634,3.0067,4.8017001,1.5336,2.2307,1.6725,7.1009002
2.0931001,3.9136,,3.0021999,3.165,5.1624999,0.88990003,4.5883999,11.4751,2.1396,2.6724,8.5600004,3.5163,3.0481999,1.5393,2.5829999,1.622,3.2743001,1.179,1.846,8.0348997,4.2796998,3.0848999,1.6756999,3.0248001,6.1447001,4.4432001,3.9133,19.4293,3.0309999,4.9095998,1.5556,2.2550001,1.7002,7.1719999
2.1215999,3.9655001,,3.0523,3.207,5.2504001,0.9023,4.6684999,11.8016,2.1645999,2.7096,8.6202002,3.5565,3.0911,1.5601,2.6350999,1.645,3.3171,1.1962,1.8755,8.1721001,4.3597002,3.1196001,1.6968,3.0678999,6.2603002,4.5037999,3.9691999,19.622,3.0771,4.9584999,1.5779001,2.2827001,1.724,7.2613001
2.1564,4.0637002,,3.0929,3.2406001,5.3140001,0.91509998,4.7595,11.9598,2.2493999,2.7664001,8.6949997,3.6382,3.1322,1.5813,2.6736,1.6688,3.362,1.2154,1.9019001,8.2869997,4.3606,3.1544001,1.7204,3.1025,6.3492999,4.5626001,4.0289998,19.9018,3.1324,5.0026002,1.5987999,2.3148,1.7474,7.3649001
