20220818a,20220818c,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206a,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191209k,20191217b,20191217c,20191217e,20191217f,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.60110003,0.84140003,1.9215,12.0571,1.1975,1.2125,2.3497,0.49720001,1.2564,7.8980999,0.81550002,1.2713,11.0273,1.5476,1.2665,1.8864,0.7335,1.4588,1.0216,1.4524,0.70740002,0.82370001,4.5201998,2.056,1.3098,0.82499999,1.3975,2.2375,3.9459,2.6017001,1.6072,5.1499,3.8399999,1.0967,1.9193,0.64529997,0.87379998,0.71359998,5.2410998
0.6196,0.86949998,1.9986,12.3295,1.2334,1.25,2.4347,0.51190001,1.2842,8.0897999,0.84390002,1.3027,11.2207,1.599,1.3048,1.9482,0.75629997,1.5036,1.0511,1.4912,0.72759998,0.85210001,4.6547999,2.1064,1.3494,0.8448,1.4437,2.3185,4.0997,2.6952,1.6554,5.2867999,3.9977,1.13,1.9835,0.66469997,0.89950001,0.73540002,5.3947001
0.63639998,0.89459997,2.1901,12.5624,1.2648,1.2817,2.5446,0.52670002,1.3200999,8.5407,0.86489999,1.3447,11.3954,1.6553,1.3357,2.1475,0.78009999,1.5671,1.0835,1.5415,0.74879998,0.87769997,4.7768998,2.1592,1.4,0.8682,1.4892,2.3873,4.3931999,2.7883,1.7056,5.3994999,4.1492,1.1669,2.6034,0.6825,0.92290002,0.75690001,5.5044999
0.65380001,0.91680002,2.293,12.8288,1.2992001,1.3221999,2.6431999,0.54339999,1.3557,8.7989998,0.8836,1.3784,11.5625,1.7043,1.369,2.3529,0.80239999,1.6113,1.113,1.5793,0.76920003,0.90130001,4.8920999,2.2067001,1.4349999,0.88380003,1.5448,2.4639001,4.7433,2.8868001,1.7557,5.5380998,4.2027998,1.2041,3.4017999,0.7033,0.94749999,0.77719998,5.6550002
0.67879999,0.94330001,2.3835001,13.085,1.3336999,1.3559999,2.8417001,0.5582,1.3947001,8.9493999,0.9023,1.4133,11.6788,1.7483,1.4048001,2.5039001,0.82639998,1.6615,1.1474,1.6193,0.79229999,0.92610002,5.0307999,2.2565999,1.4722,0.91839999,1.5814,2.5336001,4.9541998,2.9851999,1.8069,5.6531,4.3947001,1.2421,4.1030998,0.72140002,0.97420001,0.79729998,5.7704
0.6954,0.96890002,2.4881999,13.4344,1.3668,1.395,2.9331999,0.57459998,1.4245,9.2031002,0.92299998,1.4435,11.8078,1.8009,1.4361,2.6480999,0.84820002,1.7147,1.176,1.6626,0.81580001,0.95069999,5.1451998,2.3071001,1.5108,0.94340003,1.6241,2.5913999,5.0998998,3.0534999,1.8686,6.0959001,4.5966001,1.2721,4.4885998,0.7392,0.99809998,0.82230002,5.8975
0.7123,0.99599999,2.6032,13.7018,1.4033999,1.4312,3.0843999,0.58939999,1.4642,9.6416998,0.94379997,1.4744999,11.9252,1.8514,1.4747,2.7994001,0.87309998,1.757,1.2078,1.7025,0.83990002,0.97710001,5.2579999,2.3568001,1.5453,0.9752,1.6535,2.6470001,5.2473001,3.1454,1.9147,6.2477999,4.7479,1.3055,4.7886,0.75880003,1.0243,0.84390002,6.0286002
0.73470002,1.0190001,2.6863,13.9573,1.4401,1.457,3.1975,0.60390002,1.5092,10.6565,0.96399999,1.512,12.0345,1.902,1.5071,2.8970001,0.89670002,1.7948999,1.2392,1.7406,0.86189997,1.0041,5.369,2.4066999,1.5845,1.0016,1.6999,2.7133999,5.4052,3.2337,1.9615,6.3983998,4.9043999,1.3399,4.9993,0.77789998,1.0470001,0.8646,6.2255998
0.75150001,1.0466,2.7804,14.2102,1.4719,1.5063,3.2885001,0.61750001,1.5497,10.9541,0.98180002,1.5486,12.1752,1.9539,1.54,3.0302,0.91930002,1.8339,1.2708,1.7837,0.88150001,1.0286,5.5205998,2.457,1.623,1.0269001,1.7309,2.7814,5.5493002,3.3038001,2.0332,6.6991,5.2322001,1.3688999,5.29,0.79909998,1.073,0.88630003,6.4239998
0.76810002,1.0723,2.8793001,14.5115,1.5093,1.5499001,3.3866,0.63330001,1.5858001,11.204,1.005,1.5861,12.3634,1.9966,1.575,3.0957999,0.94319999,1.876,1.2997,1.8243001,0.90179998,1.0517,5.6269002,2.5065999,1.6564,1.0497,1.7706,2.848,5.6907001,3.3921001,2.0864999,6.8429999,5.3540001,1.4035,5.5039001,0.81819999,1.0980999,0.90679997,6.5966001
0.78619999,1.0957,2.9556,14.7348,1.5463001,1.5974,3.4806001,0.6476,1.6168,11.7554,1.0252,1.6202,12.5011,2.0962,1.6093,3.1933,0.9673,1.9245,1.327,1.8616,0.92259997,1.0789,5.7455001,2.5566001,1.7078,1.0700999,1.8131,2.8987999,5.8051,3.4841001,2.1324999,6.9977999,5.4990001,1.4387,5.8035002,0.83660001,1.1207,0.92769998,6.7466998
0.80309999,1.1237,3.0466001,14.9699,1.5799,1.6372,3.5469999,0.66079998,1.6569,12.0325,1.0468,1.6477,12.6374,2.1956,1.6477,3.2523,0.99129999,1.973,1.3573,1.902,0.94010001,1.1066,5.8467002,2.6062,1.7559,1.1,1.8627,2.957,5.9415998,3.5826001,2.1886001,7.1897998,5.7529998,1.471,5.9057002,0.85650003,1.1435,0.94889998,6.8884001
0.82340002,1.1544,3.1842,,1.6184,1.6738,3.635,0.67610002,1.6948,12.0745,1.0697,1.6841,12.7698,2.2844,1.6854,3.352,1.0149,2.0418999,1.3865,1.9405,0.96030003,1.1307,6.0633001,2.6566,1.7948,1.1216,1.9061,3.0106001,6.0943999,3.6842999,2.2469001,7.3470998,5.9538999,1.5028,6.1788001,0.87470001,1.1671,0.97030002,7.0334001
0.84130001,1.1782,3.2911999,,1.6569,1.7114,3.6993001,0.69019997,1.7333,12.1548,1.0921,1.7266001,12.8762,2.3546,1.7218,3.4460001,1.0369,2.0973001,1.4151,1.978,0.98030001,1.1629,6.1626,2.6893001,1.8304,1.1440001,1.9473,3.0723,6.2024002,3.7537,2.2973001,7.4545002,6.0991001,1.5342,6.3491998,0.89240003,1.1943001,0.99370003,7.2339001
0.8581,1.2072001,3.355,,1.6966,1.7539001,3.7849,0.70450002,1.7693,12.2055,1.1191,1.7502,13.0094,2.444,1.7674,3.5390999,1.0614001,2.1866,1.4463,2.0246999,1.0009,1.1858,6.2951999,2.7528,1.865,1.169,1.9979,3.1364999,6.3147001,3.8401,2.345,7.6420999,6.2844,1.5668,6.6334,0.91229999,1.2187001,1.0147001,7.4228001
0.87360001,1.2283,3.4533,,1.7332,1.7908,3.8938,0.71789998,1.8079,12.2587,1.1403,1.781,13.1556,2.5337,1.7968,3.6477001,1.0822001,2.2437999,1.4763,2.0581,1.0263,1.2129,6.4228001,2.8081,1.9088,1.1861,2.0246,3.2033,6.4419999,3.9381001,2.4496,7.7940998,6.3516002,1.5974,6.7476001,0.93269998,1.2437,1.036,7.6118002
0.90219998,1.2539999,3.5369999,,1.7695,1.8256,3.9786999,0.7313,1.8455,12.3061,1.1582,1.8194,13.2925,2.5987999,1.826,3.7880001,1.1049,2.2969999,1.5055,2.1040001,1.0513999,1.2397,6.5355,2.8566999,1.9483,1.2043,2.0688,3.2681999,6.5865998,4.0306001,2.5034001,7.9029002,6.4017,1.6309,7.1381001,0.95230001,1.2668999,1.0577,7.8196998
0.92000002,1.2812999,3.6545999,,1.8048,1.8661,4.0819001,0.74659997,1.8814,12.3592,1.1785001,1.8686,13.4375,2.6908,1.86,3.8415,1.1271,2.3979001,1.5385,2.1393001,1.0724,1.2625,6.6849999,2.9071,1.9837,1.2273,2.1182001,3.3327,6.6978998,4.1044998,2.5499001,8.0395002,6.4951,1.6668,7.3920002,0.97240001,1.2948,1.081,7.9748001
0.93980002,1.3043,3.7328,,1.8414,1.9055001,4.1475,0.7687,1.9104,12.41,1.2089,1.8997999,13.5869,2.7523,1.8903,3.9028001,1.149,2.4463999,1.5681,2.178,1.0939,1.2857,6.7851,2.9552,2.1022999,1.2567,2.1615,3.3982999,6.8035002,4.1852002,2.6029999,8.1961002,6.6931,1.7066,7.5521002,0.99080002,1.3200001,1.1036,8.1445999
0.9587,1.3301001,3.8283999,,1.8764,1.9414001,4.2423,0.78390002,1.9481,12.4773,1.225,1.9418,13.7695,2.8441,1.9186,3.9984,1.1752,2.4925001,1.5992,2.2212999,1.1169,1.3145,6.9305,3.0069001,2.2042999,1.28,2.2105999,3.4742,6.8976998,4.2542,2.6698,8.3431997,6.8827,1.7413,7.7027001,1.0084,1.3457,1.1257,8.3212004
0.97890002,1.358,3.9251001,,1.9145,1.9633,4.3385,0.7992,1.9806,12.524,1.2514,1.9759001,13.9028,2.9319999,1.9511,4.0847998,1.1959,2.5462,1.6294,2.2590001,1.1345,1.3434,7.0351,3.0567,2.3942001,1.2977,2.2526,3.5459001,7.0023999,4.3369999,2.7283001,8.4923,7.0995002,1.7749,7.9393001,1.0258,1.3702,1.146,8.5115995
0.99239999,1.385,3.9960001,,1.9529999,2.0051,4.4033999,0.81819999,2.0393,12.5785,1.2725,2.0759001,14.0515,2.9942,1.9825,4.1866999,1.2168,2.5919001,1.6582,2.3036001,1.1546,1.3713,7.1760998,3.1064,2.5987999,1.321,2.2880001,3.6141,7.1415,4.4366999,2.7867,8.6443005,7.2034001,1.8048,8.1536999,1.0469,1.392,1.1667,8.6345997
1.0075999,1.4096,4.0771999,,1.9914,2.0283,4.4875002,0.83399999,2.0969,12.6228,1.2962,2.1031001,14.2126,3.0790999,2.2929001,4.243,1.2371,2.6413,1.6859,2.3385999,1.1742001,1.3956,7.2948999,3.1565001,2.7018001,1.3437999,2.3285,3.6808,7.2951999,4.5358,2.8408999,8.7911997,7.3927002,1.837,8.3549004,1.0668,1.4173,1.1885999,8.7770996
1.0237,1.4319,4.1518002,,2.0487001,2.0553,4.5813999,0.84930003,2.1442001,12.6753,1.3154,2.1456001,14.3532,3.1400001,2.3383999,4.336,1.2589999,2.7521,1.7156,2.3821001,1.1979001,1.4188,7.4035001,3.2070999,2.8536,1.3695,2.3698001,3.8278999,7.4404001,4.6894999,2.8924,8.9862003,7.7033,1.8659,8.7547998,1.0879,1.4413,1.2083,8.9245996
1.0404,1.4629,4.2343001,,2.0971999,2.0741,4.6518998,0.86390001,2.1926999,12.7183,1.334,2.2244999,14.4836,3.1981001,2.7967,4.3975,1.2826999,2.7976999,1.7449,2.4274001,1.2185,1.4433,7.4966002,3.2585001,3.0480001,1.3918999,2.4235001,3.8813,7.5436001,4.7837,2.9482999,9.1408005,7.8849001,1.8957,8.9021997,1.1089,1.4676,1.2280999,9.0865002
1.0556,1.4877,4.3326001,,2.1433001,2.1064,4.7536001,0.87760001,2.2532001,12.7628,1.3571,2.2843001,14.6108,3.2785001,2.9384,4.4913001,1.3054,2.9036,1.7744,2.4674001,1.2392,1.4668,7.6427002,3.3064001,3.1050999,1.4135,2.4646001,3.9553001,7.6893001,4.8539,2.9953001,9.2941999,8.0316,1.926,9.0534,1.1276,1.492,1.2495,9.2484999
1.0726,1.5129,4.388,,2.1889,2.1421001,4.8873,0.89270002,2.3038001,12.8293,1.3769,2.3201001,14.7982,3.3429,2.9916999,4.5472999,1.3292,2.9765,1.8072,2.5218,1.2612,1.4877,7.7637,3.3571999,3.2018001,1.4334,2.5025001,4.0163002,7.7961998,4.9415998,3.0446,9.4046001,8.2435999,1.9556,9.1941996,1.1458,1.5164,1.2699,9.4680996
1.0879,1.5395,4.5379,,2.2361,2.1566,4.9843001,0.9066,2.3845999,12.9013,1.4009,2.3938,,3.4403,3.0425999,4.6989999,1.3525,3.0329001,1.8358999,2.5559001,1.2812001,1.5092,7.8849001,3.4063001,3.2544999,1.4607,2.5318999,4.0755,7.8940001,5.0338998,3.0978999,9.5390997,8.4408998,1.9871,9.3486996,1.1655,1.5397,1.2907,9.5790005
1.1068,1.5651,4.6469998,,2.2842,2.1970999,5.0823002,0.921,2.444,12.9582,1.4214,2.4454,,3.5278001,3.1052001,4.7873001,1.3745,3.0908999,1.8626,2.5975001,1.3005,1.5369999,8.0407,3.4563,3.3454001,1.4832,2.5634,4.145,8.0024004,5.1879001,3.1457,9.7049999,8.5516996,2.0225999,9.5030003,1.1833,1.5649,1.3135,9.7287998
