20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216h,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
2.2016001,1.7383,1.5029,,1.7291,7.4991999,4.9084001,6.3269,6.2872,1.7519,1.4069999,13.0885,6.9116001,,,2.8557999,1.813,1.9852999,3.9428999,7.7020001,4.6036,4.9475999,1.4455,0.95959997,12.5972,,3.0525,6.4696002,5.9489999,2.046,1.573,3.2423999,1.2567,4.6918998,13.3512,,10.6977,5.6479998,2.3401999
2.2820001,1.767,1.5293,,1.7612,7.7020998,4.9825001,6.4176002,6.3439999,1.7816,1.4324,13.2194,7.0879002,,,2.948,1.8457,2.4045999,4.0496998,7.8368001,4.6849999,5.1029,1.4752001,0.97589999,12.6797,,3.1396,6.5725002,6.0035,2.0918,1.604,3.3018999,1.2789,4.7912998,13.4481,,10.802,5.7610998,2.3715
2.3378,1.7955,1.5522,,1.7976,7.8569002,5.0888,6.4972,6.4436998,1.8119,1.4581,13.3053,7.2602,,,2.9877999,1.8803999,2.5534,4.1090999,7.9478002,4.7600002,5.1547999,1.4997,0.99269998,12.7852,,3.2472,6.6392999,6.1020002,2.1401999,1.6351,3.3945,1.2979,4.8558998,13.5289,,10.877,5.9260998,2.4030001
2.3863001,1.8219,1.5801001,,1.825,8.0492001,5.1476998,6.5913,6.5349002,1.8485,1.4886,13.376,7.4948001,,,3.0473001,1.9136,2.6993001,4.1810999,8.0485001,4.8539,5.2063999,1.5276,1.011,12.8979,,3.3099,6.7151999,6.1974001,2.1863,1.6682,3.4547999,1.3211,4.987,13.5865,,11.0036,6.0847998,2.4391999
2.4073999,1.8475,1.6032,,1.8530999,8.1862001,5.2125001,6.6767001,6.5840001,1.8769,1.5164,13.4152,7.6342001,,,3.1552,1.947,2.8970001,4.2361999,8.2915001,4.9335999,5.3541002,1.5492001,1.0288,12.999,,3.3905001,6.7874999,6.2943001,2.2372,1.6961,3.539,1.3423001,5.1030998,13.6426,,11.1588,6.2522001,2.4802001
2.4595001,1.8765,1.6288,,1.8839999,8.2385998,5.2722998,6.8168001,6.7101002,1.9038,1.5412,13.4838,7.7076001,,,3.1993001,1.9761,3.0021999,4.2934999,8.3599005,5.0282998,5.4555001,1.5721,1.0558,13.0944,,3.4214001,6.8669,6.3841,2.2778001,1.7175,3.6475999,1.3647,5.2495999,13.7375,,11.2979,6.3964,2.5104001
2.5551,1.9074,1.6481,,1.918,8.3156004,5.3446999,6.9257998,6.7792001,1.933,1.5683,13.5141,7.8957,,,3.2467999,4.3429999,3.0924001,4.3446002,8.4829998,5.1135998,5.5556998,1.6023,1.0757,13.1882,,3.4719,6.9496002,6.4576998,2.3181,1.745,3.7434001,1.3852,5.3435998,13.8106,,11.5079,6.5067,2.5520999
2.6308,1.9376,1.6925,,1.9521,8.3947001,5.4171,6.9926,6.8354998,1.9913,1.5977,13.5975,7.9952002,,,3.2936001,4.5984001,3.1491001,4.3980999,8.5563002,5.1908002,5.6448998,1.6308,1.0942,13.2763,,3.5458,7.0292001,6.5489001,2.3656001,1.7694,3.8371999,1.4083,5.4429998,13.8859,,11.5965,6.6476002,2.589
2.6777999,1.9681,1.7272,,1.9837,8.4792004,5.4967999,7.0971999,6.9060998,2.1459999,1.6262,13.6882,8.1738997,,,3.3376999,4.7547998,3.2412,4.4562998,8.6468,5.2961998,5.7491002,1.6559,1.1121,13.3488,,3.5971,7.0854998,6.6606998,2.4026999,1.7953,3.8936999,1.427,5.5897002,13.9771,,11.6573,6.7989001,2.6199
2.6945,1.9962,1.7613,,5.5545998,8.5438995,5.5830002,7.1733999,6.9631,2.2019,1.6528,13.7498,8.3430996,,,3.3896999,4.8456998,3.296,4.5065999,8.7965002,5.3532,5.8045001,1.6784,1.1298,13.4224,,3.6756001,7.1908002,6.7421999,2.4493999,1.8351001,3.9533999,1.4466,5.6571002,14.0484,,11.7564,6.9103999,2.6487999
2.8343,2.0974,1.7869,,5.9024,8.7498999,5.7091999,7.2832999,7.0531998,2.2516999,1.6792001,13.8063,8.7019997,,,3.4275999,4.9487,3.4026999,4.585,8.8547001,5.4355998,5.8931999,1.7033,1.1444,13.5221,,3.7035,7.2904,6.8397002,2.4956999,1.8687,4.0458002,1.4693,5.8395,14.1415,,11.9324,7.0283999,2.6812
